latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
13.7943,-0.7491,358.6,1.1,1.1,2023-01-01,1031,Terra,MODIS,99,61.03,307.1,88.5,D,0
13.7927,-0.7388,336.5,1.1,1.1,2023-01-01,1031,Terra,MODIS,86,61.03,307.1,33.8,D,0
11.9019,-1.3033,319.5,1.1,1.1,2023-01-01,1032,Terra,MODIS,61,61.03,304.4,9,D,0
11.4584,0.8285,351.8,1.5,1.2,2023-01-01,1032,Terra,MODIS,96,61.03,308,103.6,D,0
11.4561,0.8423,334.4,1.5,1.2,2023-01-01,1032,Terra,MODIS,84,61.03,307.5,44.8,D,0
11.4557,0.8216,335.2,1.5,1.2,2023-01-01,1032,Terra,MODIS,85,61.03,306.8,46.7,D,0
11.4536,0.8354,352,1.5,1.2,2023-01-01,1032,Terra,MODIS,96,61.03,308.7,105.4,D,0
11.9509,0.9114,319.8,1.5,1.2,2023-01-01,1032,Terra,MODIS,66,61.03,305.4,15.5,D,0
12.2225,-4.3976,320.5,1,1,2023-01-01,1032,Terra,MODIS,64,61.03,306.4,7.9,D,0
11.3015,1.2133,319.5,1.6,1.3,2023-01-01,1032,Terra,MODIS,65,61.03,305.3,13.6,D,0
11.3537,0.6738,319.3,1.5,1.2,2023-01-01,1032,Terra,MODIS,63,61.03,307.1,12.9,D,0
11.6694,-1.5921,335.5,1.1,1,2023-01-01,1032,Terra,MODIS,85,61.03,304.8,30.4,D,0
11.6679,-1.5823,335.8,1.1,1,2023-01-01,1032,Terra,MODIS,85,61.03,306.7,30.9,D,0
11.6482,-1.5615,318.4,1.1,1,2023-01-01,1032,Terra,MODIS,58,61.03,306.7,7.6,D,0
11.6995,-2.2117,322.3,1,1,2023-01-01,1032,Terra,MODIS,69,61.03,305.7,10.5,D,0
11.6981,-2.2023,319.5,1,1,2023-01-01,1032,Terra,MODIS,52,61.03,305.6,7.2,D,0
11.795,0.5322,319.1,1.4,1.2,2023-01-01,1032,Terra,MODIS,48,61.03,306,11.4,D,0
11.6772,-2.1863,318.4,1,1,2023-01-01,1032,Terra,MODIS,57,61.03,304.6,6.5,D,0
11.9997,-4.5811,317.7,1,1,2023-01-01,1032,Terra,MODIS,55,61.03,305,5.8,D,0
11.7172,-2.8264,320,1,1,2023-01-01,1032,Terra,MODIS,59,61.03,308.1,6.6,D,0
11.6133,-2.9316,320.7,1,1,2023-01-01,1032,Terra,MODIS,65,61.03,305.7,8.9,D,0
11.6079,-2.8954,333.4,1,1,2023-01-01,1032,Terra,MODIS,83,61.03,307.8,23,D,0
11.6066,-2.8863,328.8,1,1,2023-01-01,1032,Terra,MODIS,78,61.03,307.3,16.6,D,0
11.4528,-1.8636,316.9,1.1,1,2023-01-01,1032,Terra,MODIS,50,61.03,305,6.5,D,0
11.5224,-2.3842,319.3,1,1,2023-01-01,1032,Terra,MODIS,61,61.03,304.8,7.6,D,0
11.521,-2.3749,323,1,1,2023-01-01,1032,Terra,MODIS,70,61.03,305.5,11.5,D,0
11.252,-0.8394,321,1.2,1.1,2023-01-01,1032,Terra,MODIS,59,61.03,306.8,10.7,D,0
12.6575,-4.4751,328.1,1,1,2023-01-01,1032,Terra,MODIS,78,61.03,305.8,18,D,0
11.2456,-0.8624,319,1.2,1.1,2023-01-01,1032,Terra,MODIS,42,61.03,306.1,8.5,D,0
11.2783,-1.1394,324.8,1.2,1.1,2023-01-01,1032,Terra,MODIS,73,61.03,305.9,15.4,D,0
11.2767,-1.129,324.4,1.2,1.1,2023-01-01,1032,Terra,MODIS,72,61.03,305.9,15.1,D,0
11.272,-1.1616,321.9,1.2,1.1,2023-01-01,1032,Terra,MODIS,50,61.03,305,11.7,D,0
11.2704,-1.1513,331.9,1.2,1.1,2023-01-01,1032,Terra,MODIS,80,61.03,306.9,25.3,D,0
11.5109,-2.9251,318.7,1,1,2023-01-01,1032,Terra,MODIS,58,61.03,306.7,6.3,D,0
11.6848,-4.2435,327.4,1,1,2023-01-01,1032,Terra,MODIS,76,61.03,307.6,14.1,D,0
11.6757,-4.2513,319.7,1,1,2023-01-01,1032,Terra,MODIS,62,61.03,307.1,6,D,0
11.6744,-4.2421,324.3,1,1,2023-01-01,1032,Terra,MODIS,72,61.03,307.4,11.1,D,0
11.2291,-1.9064,330,1.1,1,2023-01-01,1032,Terra,MODIS,79,61.03,306.1,21.9,D,0
11.2276,-1.8967,317.7,1.1,1,2023-01-01,1032,Terra,MODIS,50,61.03,305.1,7.4,D,0
11.2645,-2.3276,317.9,1,1,2023-01-01,1032,Terra,MODIS,51,61.03,305.2,5.9,D,0
11.2631,-2.3183,318.4,1,1,2023-01-01,1032,Terra,MODIS,53,61.03,305.4,6.4,D,0
11.1593,-1.818,321.3,1.1,1,2023-01-01,1032,Terra,MODIS,64,61.03,305.7,10.2,D,0
11.1578,-1.8082,316.7,1.1,1,2023-01-01,1032,Terra,MODIS,22,61.03,304.7,5.1,D,0
11.1501,-1.8194,323.7,1.1,1,2023-01-01,1032,Terra,MODIS,70,61.03,304.3,12.6,D,0
11.0186,-1.6713,317.2,1.1,1,2023-01-01,1032,Terra,MODIS,34,61.03,305.5,5.6,D,0
11.0898,-2.2706,331.2,1,1,2023-01-01,1032,Terra,MODIS,80,61.03,307.1,21.5,D,0
11.0884,-2.2613,318.7,1.1,1,2023-01-01,1032,Terra,MODIS,51,61.03,307,6.4,D,0
11.2045,-3.4735,323.1,1,1,2023-01-01,1032,Terra,MODIS,68,61.03,307.6,10.2,D,0
11.1785,-3.4928,331.6,1,1,2023-01-01,1032,Terra,MODIS,80,61.03,308.9,19,D,0
11.6462,1.0136,323,1.6,1.2,2023-01-01,1032,Terra,MODIS,71,61.03,306.2,19,D,0
10.8508,-3.1468,319.6,1,1,2023-01-01,1032,Terra,MODIS,54,61.03,306.8,6.9,D,0
10.8362,-3.6137,338.6,1,1,2023-01-01,1032,Terra,MODIS,87,61.03,308.4,31,D,0
10.292,-3.3585,320.1,1,1,2023-01-01,1032,Terra,MODIS,62,61.03,305.1,7.9,D,0
10.1414,-3.148,318.4,1,1,2023-01-01,1032,Terra,MODIS,55,61.03,305.8,6,D,0
10.14,-3.1389,325.9,1,1,2023-01-01,1032,Terra,MODIS,74,61.03,305.8,13.8,D,0
10.3037,-4.3295,316.8,1,1,2023-01-01,1032,Terra,MODIS,51,61.03,305.2,6.2,D,0
10.1118,-3.7693,316.4,1,1,2023-01-01,1032,Terra,MODIS,46,61.03,304.7,6.7,D,0
10.0987,-4.5652,328.8,1,1,2023-01-01,1032,Terra,MODIS,78,61.03,307.6,16.8,D,0
11.1696,-3.4941,322.2,1,1,2023-01-01,1032,Terra,MODIS,66,61.03,307.9,8.1,D,0
11.6439,1.0276,320.1,1.6,1.2,2023-01-01,1032,Terra,MODIS,65,61.03,306,13.6,D,0
9.7193,-4.6814,321.9,1,1,2023-01-01,1033,Terra,MODIS,68,61.03,300.3,9,D,0
9.9436,-3.8466,322.3,3.3,1.7,2023-01-01,1318,Aqua,MODIS,62,61.03,303,61.7,D,0
9.941,-3.8531,321.7,3.3,1.7,2023-01-01,1318,Aqua,MODIS,59,61.03,303.2,54,D,0
11.1082,0.9341,329.5,1.4,1.2,2023-01-01,1318,Aqua,MODIS,73,61.03,315.4,17.4,D,0
11.1306,-0.4556,322.7,1.7,1.3,2023-01-01,1318,Aqua,MODIS,53,61.03,310.5,13.7,D,0
11.142,-0.4577,323.8,1.7,1.3,2023-01-01,1318,Aqua,MODIS,59,61.03,310.1,16.2,D,0
11.3529,0.6587,325.1,1.4,1.2,2023-01-01,1318,Aqua,MODIS,61,61.03,311.7,13.9,D,0
11.3581,0.6522,323.6,1.4,1.2,2023-01-01,1318,Aqua,MODIS,47,61.03,310.2,10.6,D,0
11.3876,-2.3078,322.4,2.3,1.5,2023-01-01,1319,Aqua,MODIS,63,61.03,307.1,29.1,D,0
11.0195,-1.6793,320.5,2.1,1.4,2023-01-01,1319,Aqua,MODIS,49,61.03,308,17.1,D,0
10.7756,-3.9035,320.6,3.2,1.7,2023-01-01,1319,Aqua,MODIS,56,61.03,307.9,39.2,D,0
11.1397,-1.8257,320.1,2.2,1.4,2023-01-01,1319,Aqua,MODIS,42,61.03,307.3,14.9,D,0
11.2588,-1.1711,321.4,1.9,1.4,2023-01-01,1319,Aqua,MODIS,25,61.03,308,16.3,D,0
11.1392,-1.8305,321.3,2.2,1.4,2023-01-01,1319,Aqua,MODIS,57,61.03,307.4,19.8,D,0
11.1292,-1.8889,320.9,2.2,1.4,2023-01-01,1319,Aqua,MODIS,55,61.03,308,20.6,D,0
10.7735,-3.9074,321.4,3.2,1.7,2023-01-01,1319,Aqua,MODIS,60,61.03,307.7,42.7,D,0
11.266,-1.1596,323.5,1.9,1.3,2023-01-01,1319,Aqua,MODIS,62,61.03,309.8,25,D,0
11.7104,1.1181,335.7,1.3,1.1,2023-01-01,1319,Aqua,MODIS,82,61.03,312.2,28.5,D,0
11.7114,1.1233,330.7,1.3,1.1,2023-01-01,1319,Aqua,MODIS,76,61.03,312.9,19,D,0
11.7095,1.1116,326.8,1.3,1.1,2023-01-01,1319,Aqua,MODIS,68,61.03,311.6,11.9,D,0
11.3986,-1.0678,324.9,1.9,1.3,2023-01-01,1319,Aqua,MODIS,66,61.03,309.3,26,D,0
11.7828,0.5323,333.2,1.4,1.2,2023-01-01,1319,Aqua,MODIS,79,61.03,310.9,29.9,D,0
11.7808,0.5195,325,1.4,1.2,2023-01-01,1319,Aqua,MODIS,54,61.03,312.6,12,D,0
11.4861,-1.3166,326.4,1.9,1.4,2023-01-01,1319,Aqua,MODIS,70,61.03,307.5,34.7,D,0
11.4833,-1.3341,345.2,2,1.4,2023-01-01,1319,Aqua,MODIS,91,61.03,308.6,109.8,D,0
11.4905,-1.3246,329.2,1.9,1.4,2023-01-01,1319,Aqua,MODIS,75,61.03,308.3,42,D,0
11.4876,-1.3421,324.7,2,1.4,2023-01-01,1319,Aqua,MODIS,67,61.03,307.1,28.2,D,0
12.1897,2.0991,323.5,1.1,1.1,2023-01-01,1319,Aqua,MODIS,63,61.03,310.7,8.2,D,0
11.6679,-1.5872,319.8,2,1.4,2023-01-01,1319,Aqua,MODIS,38,61.03,307.9,13.7,D,0
11.6069,-2.8836,326.1,2.6,1.5,2023-01-01,1319,Aqua,MODIS,69,61.03,307.9,45.5,D,0
11.6139,-2.8916,321.8,2.6,1.5,2023-01-01,1319,Aqua,MODIS,54,61.03,308.4,28.8,D,0
11.7072,-2.8378,321.5,2.5,1.5,2023-01-01,1319,Aqua,MODIS,61,61.03,308.7,25.7,D,0
11.7003,-2.8415,323.1,2.5,1.5,2023-01-01,1319,Aqua,MODIS,66,61.03,308.3,32.1,D,0
13.4133,0.5434,331.6,1.3,1.1,2023-01-01,1319,Aqua,MODIS,78,61.03,308.9,27.9,D,0
13.4113,0.5313,323.2,1.3,1.1,2023-01-01,1319,Aqua,MODIS,61,61.03,309,12.3,D,0
13.1383,-3.6927,326.7,2.8,1.6,2023-01-01,1319,Aqua,MODIS,74,61.03,304.9,63.5,D,0
13.1283,-3.6976,318.3,2.8,1.6,2023-01-01,1319,Aqua,MODIS,49,61.03,304.8,24.1,D,0
13.7513,-0.7145,322.6,1.6,1.2,2023-01-01,1319,Aqua,MODIS,57,61.03,307.9,17,D,0
13.7883,-0.7658,351.7,1.6,1.2,2023-01-01,1319,Aqua,MODIS,95,61.03,309.5,107.7,D,0
13.786,-0.7804,334.4,1.6,1.2,2023-01-01,1319,Aqua,MODIS,82,61.03,306.4,45.4,D,0
13.8018,-0.7531,332.2,1.6,1.2,2023-01-01,1319,Aqua,MODIS,80,61.03,309.1,35.9,D,0
13.7994,-0.7677,332.2,1.6,1.2,2023-01-01,1319,Aqua,MODIS,80,61.03,308,38.3,D,0
13.797,-0.7824,320.8,1.6,1.2,2023-01-01,1319,Aqua,MODIS,47,61.03,307,13,D,0
13.8025,-0.7599,329.2,1.6,1.2,2023-01-01,1319,Aqua,MODIS,76,61.03,308.8,29.1,D,0
14.2111,-0.036,322.8,1.4,1.2,2023-01-01,1319,Aqua,MODIS,57,61.03,309.8,11.1,D,0
11.2043,-4.2048,317.9,4,1.9,2023-01-02,1113,Terra,MODIS,63,61.03,302.1,55.9,D,0
10.3224,-4.4973,316.4,4,1.9,2023-01-02,1113,Terra,MODIS,57,61.03,304.8,43.4,D,0
10.3161,-4.4619,318.8,4,1.9,2023-01-02,1113,Terra,MODIS,65,61.03,304.2,60.9,D,0
10.3099,-4.4696,320.9,4,1.9,2023-01-02,1113,Terra,MODIS,69,61.03,304,71.1,D,0
9.73,-4.6382,330.9,4,1.9,2023-01-02,1114,Terra,MODIS,82,61.03,305.3,146.2,D,0
9.7236,-4.6464,326.3,4,1.9,2023-01-02,1114,Terra,MODIS,78,61.03,304.6,110.2,D,0
11.7418,-1.5086,327.9,1.6,1.3,2023-01-02,1401,Aqua,MODIS,74,61.03,310.4,27.4,D,0
11.8138,0.8063,326.4,2.5,1.5,2023-01-02,1401,Aqua,MODIS,72,61.03,309.6,37.8,D,0
11.8068,0.8019,325.7,2.5,1.5,2023-01-02,1401,Aqua,MODIS,71,61.03,309.1,36.4,D,0
11.7437,-1.4936,323.6,1.6,1.3,2023-01-02,1401,Aqua,MODIS,66,61.03,309.9,17.6,D,0
11.747,-1.6442,326.7,1.6,1.2,2023-01-02,1401,Aqua,MODIS,72,61.03,308.8,25.9,D,0
11.745,-1.6588,326.9,1.6,1.2,2023-01-02,1401,Aqua,MODIS,73,61.03,308.6,26.2,D,0
11.6826,-2.1331,324.1,1.5,1.2,2023-01-02,1401,Aqua,MODIS,66,61.03,302.9,24.2,D,0
11.8965,-2.0156,323.4,1.5,1.2,2023-01-02,1401,Aqua,MODIS,64,61.03,310,13.8,D,0
12.5147,-2.3623,324.2,1.5,1.2,2023-01-02,1401,Aqua,MODIS,65,61.03,310,15.4,D,0
12.5381,-2.8175,323.8,1.4,1.2,2023-01-02,1401,Aqua,MODIS,54,61.03,309.1,11,D,0
12.5365,-2.83,338.1,1.4,1.2,2023-01-02,1401,Aqua,MODIS,85,61.03,310.3,41.1,D,0
12.5485,-2.819,323.2,1.4,1.2,2023-01-02,1401,Aqua,MODIS,61,61.03,309,10.8,D,0
12.9084,-3.1907,325.1,1.3,1.1,2023-01-02,1401,Aqua,MODIS,66,61.03,311.8,11.7,D,0
9.6527,-2.8221,324.7,1.3,1.1,2023-01-02,1401,Aqua,MODIS,53,61.03,313.1,9.8,D,0
9.72,-2.8487,323.1,1.3,1.1,2023-01-02,1401,Aqua,MODIS,35,61.03,312.5,8.9,D,0
9.7478,-4.3255,328.9,1.1,1,2023-01-02,1401,Aqua,MODIS,72,61.03,311.1,15.5,D,0
9.7723,-4.208,338.1,1.1,1,2023-01-02,1401,Aqua,MODIS,84,61.03,310.7,30.8,D,0
9.7816,-4.2093,322.2,1.1,1,2023-01-02,1401,Aqua,MODIS,47,61.03,310.6,8.2,D,0
9.7209,-4.6466,334.7,1,1,2023-01-02,1401,Aqua,MODIS,80,61.03,315.7,18.8,D,0
9.7196,-4.656,338.3,1,1,2023-01-02,1401,Aqua,MODIS,85,61.03,313.1,24.8,D,0
9.9446,-3.8258,330.5,1.1,1.1,2023-01-02,1401,Aqua,MODIS,43,61.03,312.3,17.3,D,0
9.9432,-3.8359,337,1.1,1.1,2023-01-02,1401,Aqua,MODIS,83,61.03,310.9,28.8,D,0
9.8537,-4.6812,326.8,1,1,2023-01-02,1401,Aqua,MODIS,63,61.03,314,8.7,D,0
10.119,-3.1515,324.9,1.2,1.1,2023-01-02,1401,Aqua,MODIS,51,61.03,311.9,10.1,D,0
10.1931,-3.2782,325.5,1.2,1.1,2023-01-02,1401,Aqua,MODIS,58,61.03,312.3,10.4,D,0
10.0689,-4.1894,329.9,1.1,1,2023-01-02,1401,Aqua,MODIS,73,61.03,312.3,18.5,D,0
10.0676,-4.1992,324.1,1.1,1,2023-01-02,1401,Aqua,MODIS,57,61.03,310,11,D,0
10.2028,-3.2795,323.7,1.2,1.1,2023-01-02,1401,Aqua,MODIS,40,61.03,311.7,7.5,D,0
10.1332,-4.5291,334,1.1,1,2023-01-02,1401,Aqua,MODIS,74,61.03,312.1,20,D,0
10.1318,-4.5386,330.3,1.1,1,2023-01-02,1401,Aqua,MODIS,66,61.03,311.2,15.4,D,0
10.2086,-4.3251,331.1,1.1,1,2023-01-02,1401,Aqua,MODIS,75,61.03,311.1,19.2,D,0
10.2157,-4.322,326.3,1.1,1,2023-01-02,1401,Aqua,MODIS,64,61.03,311.1,13.2,D,0
10.2144,-4.3317,324.1,1.1,1,2023-01-02,1401,Aqua,MODIS,56,61.03,309.7,10.1,D,0
10.2379,-4.4332,326.3,1.1,1,2023-01-02,1401,Aqua,MODIS,65,61.03,312.3,9.2,D,0
10.2455,-4.5123,360.5,1.1,1,2023-01-02,1401,Aqua,MODIS,100,61.03,311.8,78.6,D,0
10.4898,-2.8896,331.4,1.3,1.1,2023-01-02,1401,Aqua,MODIS,74,61.03,315.9,18.5,D,0
10.3133,-4.4897,325.9,1.1,1,2023-01-02,1401,Aqua,MODIS,40,61.03,313.5,6.2,D,0
10.3265,-4.4623,326.9,1.1,1,2023-01-02,1401,Aqua,MODIS,60,61.03,314.3,9.8,D,0
10.414,-4.422,325.6,1.1,1,2023-01-02,1401,Aqua,MODIS,62,61.03,313.9,9.5,D,0
11.2653,0.7278,327.3,2.4,1.5,2023-01-02,1401,Aqua,MODIS,71,61.03,310.9,38.8,D,0
10.8469,-3.2015,326,1.2,1.1,2023-01-02,1401,Aqua,MODIS,61,61.03,312.1,11,D,0
10.8454,-3.2127,327.3,1.2,1.1,2023-01-02,1401,Aqua,MODIS,65,61.03,313.3,12.8,D,0
11.4146,0.8593,353.6,2.5,1.5,2023-01-02,1401,Aqua,MODIS,96,61.03,308.1,206.9,D,0
11.4118,0.8367,339.5,2.5,1.5,2023-01-02,1401,Aqua,MODIS,86,61.03,309.2,104.5,D,0
10.6119,-5.3754,325.7,1,1,2023-01-02,1401,Aqua,MODIS,60,61.03,312,9.2,D,0
11.4214,0.8531,338.9,2.5,1.5,2023-01-02,1401,Aqua,MODIS,86,61.03,309.2,93.7,D,0
11.4187,0.8306,328.4,2.5,1.5,2023-01-02,1401,Aqua,MODIS,70,61.03,310.4,39.6,D,0
11.3475,-1.1143,325.7,1.7,1.3,2023-01-02,1401,Aqua,MODIS,65,61.03,311.1,21.1,D,0
11.3326,-1.839,325.4,1.5,1.2,2023-01-02,1401,Aqua,MODIS,65,61.03,309.7,17.6,D,0
11.3435,-1.8404,325.1,1.5,1.2,2023-01-02,1401,Aqua,MODIS,64,61.03,309.5,17.1,D,0
13.212,-2.8893,325.8,1.4,1.2,2023-01-02,1402,Aqua,MODIS,67,61.03,309.4,15.7,D,0
13.4845,-2.7504,321.5,1.4,1.2,2023-01-02,1402,Aqua,MODIS,43,61.03,309.2,8.9,D,0
13.2828,-1.442,323.5,1.8,1.3,2023-01-02,1402,Aqua,MODIS,56,61.03,309.5,18.1,D,0
13.3,-1.4931,329.6,1.7,1.3,2023-01-02,1402,Aqua,MODIS,76,61.03,308.5,32.8,D,0
11.6951,-1.6175,300.6,1.1,1.1,2023-01-02,2202,Terra,MODIS,30,61.03,289.8,5.7,N,0
13.3758,0.5725,311,1,1,2023-01-02,2202,Terra,MODIS,81,61.03,290.7,11,N,0
13.3745,0.5635,307.7,1,1,2023-01-02,2202,Terra,MODIS,72,61.03,290.7,8.7,N,0
12.0699,-1.5126,308.9,1.1,1.1,2023-01-02,2202,Terra,MODIS,76,61.03,290.2,12,N,0
13.4709,-3.1505,304.6,1.3,1.1,2023-01-02,2202,Terra,MODIS,61,61.03,289.6,10.4,N,0
14.3932,0.2475,317.1,1,1,2023-01-03,1015,Terra,MODIS,55,61.03,303.2,5.6,D,0
14.3883,0.2184,324.8,1,1,2023-01-03,1015,Terra,MODIS,74,61.03,303.6,13.8,D,0
14.387,0.2277,318.6,1,1,2023-01-03,1015,Terra,MODIS,41,61.03,303.3,6.7,D,0
11.3699,0.7411,326.4,1,1,2023-01-03,1016,Terra,MODIS,75,61.03,306.3,13.6,D,0
13.6551,0.3146,317.1,1,1,2023-01-03,1016,Terra,MODIS,56,61.03,303.9,5.8,D,0
13.3783,0.5771,331.1,1,1,2023-01-03,1016,Terra,MODIS,81,61.03,305.4,20.2,D,0
13.377,0.5862,321.4,1,1,2023-01-03,1016,Terra,MODIS,62,61.03,303.6,9.1,D,0
13.3694,0.5758,322,1,1,2023-01-03,1016,Terra,MODIS,66,61.03,305.4,9.8,D,0
13.3681,0.5849,328.1,1,1,2023-01-03,1016,Terra,MODIS,78,61.03,303.6,16.6,D,0
13.337,-1.0875,320.8,1.1,1,2023-01-03,1016,Terra,MODIS,68,61.03,304,9.9,D,0
13.3434,-1.4555,316,1.1,1.1,2023-01-03,1016,Terra,MODIS,55,61.03,302.9,7.4,D,0
13.342,-1.4451,321,1.1,1.1,2023-01-03,1016,Terra,MODIS,69,61.03,303.1,13.1,D,0
13.2368,-0.8266,325.6,1.1,1,2023-01-03,1016,Terra,MODIS,75,61.03,303.3,17.2,D,0
13.3122,-1.4385,320.8,1.1,1.1,2023-01-03,1016,Terra,MODIS,68,61.03,302,11.6,D,0
13.3108,-1.4283,322.5,1.1,1.1,2023-01-03,1016,Terra,MODIS,71,61.03,303.8,14.1,D,0
13.2277,-0.8279,325.1,1.1,1,2023-01-03,1016,Terra,MODIS,74,61.03,302.6,16.3,D,0
12.7455,-2.6109,316.1,1.3,1.1,2023-01-03,1016,Terra,MODIS,56,61.03,303.5,8.3,D,0
11.9307,0.9504,326.7,1,1,2023-01-03,1016,Terra,MODIS,76,61.03,306.3,14.4,D,0
11.9294,0.9594,320.2,1,1,2023-01-03,1016,Terra,MODIS,64,61.03,306,7.6,D,0
11.8917,0.773,315.9,1,1,2023-01-03,1016,Terra,MODIS,37,61.03,304.2,5,D,0
12.4012,-3.1817,325.6,1.4,1.2,2023-01-03,1016,Terra,MODIS,76,61.03,304,22.7,D,0
11.6195,2.0424,324.5,1.1,1,2023-01-03,1016,Terra,MODIS,74,61.03,304.2,13,D,0
11.6181,2.052,318.4,1.1,1,2023-01-03,1016,Terra,MODIS,61,61.03,305.3,6.4,D,0
11.6109,1.9146,319,1.1,1,2023-01-03,1016,Terra,MODIS,60,61.03,305.9,6.8,D,0
11.6953,1.171,320.4,1,1,2023-01-03,1016,Terra,MODIS,64,61.03,305.6,7,D,0
11.6342,1.3889,326.8,1,1,2023-01-03,1016,Terra,MODIS,76,61.03,306.7,14.9,D,0
11.6253,1.3875,328.4,1,1,2023-01-03,1016,Terra,MODIS,78,61.03,307.1,16.6,D,0
11.448,1.7714,368.5,1,1,2023-01-03,1016,Terra,MODIS,100,61.03,310,107.5,D,0
11.4465,1.7808,327.2,1,1,2023-01-03,1016,Terra,MODIS,77,61.03,307.7,15.9,D,0
11.3365,1.2226,335.2,1,1,2023-01-03,1016,Terra,MODIS,85,61.03,306,25.6,D,0
11.3352,1.2317,327.5,1,1,2023-01-03,1016,Terra,MODIS,77,61.03,303.7,15.2,D,0
11.7398,-1.6595,319.1,1.1,1.1,2023-01-03,1016,Terra,MODIS,61,61.03,303.4,10.2,D,0
11.7384,-1.6494,316.8,1.1,1.1,2023-01-03,1016,Terra,MODIS,52,61.03,302.9,7.7,D,0
11.6995,-1.6194,324.7,1.1,1.1,2023-01-03,1016,Terra,MODIS,73,61.03,304.6,16.1,D,0
11.6981,-1.6093,319.2,1.1,1.1,2023-01-03,1016,Terra,MODIS,62,61.03,305.1,9.5,D,0
11.361,0.7398,323.4,1,1,2023-01-03,1016,Terra,MODIS,70,61.03,306.1,10.9,D,0
11.6916,-1.6308,327.2,1.1,1.1,2023-01-03,1016,Terra,MODIS,74,61.03,303.6,18.2,D,0
11.6902,-1.6207,332.6,1.1,1.1,2023-01-03,1016,Terra,MODIS,82,61.03,305.2,26.4,D,0
11.8321,-3.8618,314.9,1.5,1.2,2023-01-03,1016,Terra,MODIS,48,61.03,302.6,8,D,0
11.4336,-1.3052,317,1.1,1,2023-01-03,1016,Terra,MODIS,51,61.03,303.3,7.4,D,0
11.438,-1.8619,320.6,1.1,1.1,2023-01-03,1016,Terra,MODIS,66,61.03,304.3,11.4,D,0
11.0282,0.6901,328.8,1,1,2023-01-03,1016,Terra,MODIS,78,61.03,307.6,15.9,D,0
11.0269,0.6991,339.1,1,1,2023-01-03,1016,Terra,MODIS,87,61.03,307.6,30.6,D,0
11.0251,0.3906,320.4,1,1,2023-01-03,1016,Terra,MODIS,63,61.03,305.8,8,D,0
11.2838,-2.2937,318.6,1.2,1.1,2023-01-03,1016,Terra,MODIS,59,61.03,304.8,9,D,0
11.2138,-1.7806,319.6,1.1,1.1,2023-01-03,1016,Terra,MODIS,62,61.03,305.2,9.3,D,0
11.1675,-1.8343,318.8,1.1,1.1,2023-01-03,1016,Terra,MODIS,58,61.03,305.1,8.3,D,0
11.1661,-1.8241,323,1.1,1.1,2023-01-03,1016,Terra,MODIS,69,61.03,304.7,13.5,D,0
11.1361,-1.7455,316.4,1.1,1.1,2023-01-03,1016,Terra,MODIS,28,61.03,302.8,6.6,D,0
11.1281,-1.7569,352.9,1.1,1.1,2023-01-03,1016,Terra,MODIS,96,61.03,305.7,70.7,D,0
11.1267,-1.7468,331.9,1.1,1.1,2023-01-03,1016,Terra,MODIS,81,61.03,305.7,26.2,D,0
10.83,-3.5551,319.8,1.4,1.2,2023-01-03,1016,Terra,MODIS,63,61.03,305.3,12.6,D,0
10.7331,-2.9845,320.5,1.3,1.1,2023-01-03,1016,Terra,MODIS,62,61.03,305.2,13,D,0
10.7316,-2.9728,328.3,1.3,1.1,2023-01-03,1016,Terra,MODIS,77,61.03,303.8,25.8,D,0
10.1773,-4.6075,315.7,1.7,1.3,2023-01-03,1017,Terra,MODIS,54,61.03,303,10.5,D,0
10.1451,-4.5366,315.5,1.6,1.3,2023-01-03,1017,Terra,MODIS,27,61.03,303.7,9.2,D,0
10.0781,-4.1979,341.6,1.5,1.2,2023-01-03,1017,Terra,MODIS,90,61.03,303.4,73.7,D,0
9.9603,-3.8382,320.9,1.4,1.2,2023-01-03,1017,Terra,MODIS,60,61.03,303.5,16.8,D,0
9.9586,-3.8252,333.2,1.4,1.2,2023-01-03,1017,Terra,MODIS,83,61.03,305.5,41.4,D,0
9.9409,-3.854,322.7,1.5,1.2,2023-01-03,1017,Terra,MODIS,66,61.03,303.8,19.6,D,0
9.9392,-3.841,337.5,1.4,1.2,2023-01-03,1017,Terra,MODIS,87,61.03,305.6,52,D,0
9.9286,-3.8424,326.3,1.4,1.2,2023-01-03,1017,Terra,MODIS,76,61.03,305,25.8,D,0
9.7645,-2.7812,317.7,1.2,1.1,2023-01-03,1017,Terra,MODIS,37,61.03,305,6.4,D,0
9.7775,-3.0186,317.2,1.3,1.1,2023-01-03,1017,Terra,MODIS,50,61.03,305.8,8.4,D,0
10.1607,-3.1296,324.3,1.3,1.1,2023-01-03,1017,Terra,MODIS,72,61.03,306,17.9,D,0
11.809,2.1915,324.1,1.9,1.3,2023-01-03,1305,Aqua,MODIS,67,61.03,307.3,24.9,D,0
11.8146,2.1856,321.3,1.9,1.3,2023-01-03,1305,Aqua,MODIS,49,61.03,306.8,16.4,D,0
11.5697,1.1429,331.1,2.3,1.5,2023-01-03,1305,Aqua,MODIS,78,61.03,311,53.4,D,0
11.5663,1.1226,327.7,2.3,1.5,2023-01-03,1305,Aqua,MODIS,74,61.03,309.4,39.9,D,0
11.5681,1.1361,334.7,2.3,1.5,2023-01-03,1305,Aqua,MODIS,83,61.03,310.7,69.7,D,0
